Key,Type 类型,Context 所属场景/条目,Chinese (Simplified)(zh-CN),English (United States)(en-US)
Post_008,社交媒体帖子 Post,评论区,"1. 若情况允许，请大声呼喊，通知附近的其他人
2. 将毛巾弄湿，盖住口鼻并底下身子前进
3. 请立刻离开火灾现场，切勿贪恋财物
4. 切勿搭乘电梯，而以楼梯逃生","1. If conditions allow, shout loudly to alert others nearby.
2. Wet a towel, cover your nose and mouth, and stay low while moving.
3. Leave the fire scene immediately. Do not risk your safety for belongings.
4. Do not use elevators. Use the stairs to evacuate."
Post_009,社交媒体帖子 Post,评论区,评论区,Comments
Comment_012,网络留言 Comment,评论区,感谢提醒，已转发,Thanks for the reminder. Shared.
Comment_013,网络留言 Comment,评论区,希望大家一辈子都不会用上这些知识,Hope none of us ever have to use this knowledge.
Comment_014,网络留言 Comment,评论区,是不是要在家里自备灭火器比较好啊,Would it be better to keep a fire extinguisher at home?
Post_010,社交媒体帖子 Post,评论区,昨天深夜看到一辆超黑的车，连车玻璃都和我家那只黑猫一样黑。,Saw an insanely black car late last night. Even the windows were as black as my black cat.
Post_011,社交媒体帖子 Post,评论区,评论区,Comments
Comment_015,网络留言 Comment,评论区,大半夜的不是看什么都是黑的吗？,Isn't everything black in the middle of the night?
Comment_016,网络留言 Comment,评论区,没拍下来吗，这种违法交通的可以拿去举报了,"Didn't you get a photo? If it was violating traffic laws, you could report it."
Post_012,社交媒体帖子 Post,评论区,我记得我在哪看到说那间孤儿院本来就预计要停业了，那院长一定是不想处理后续，所以直接放火烧了吧。,"I remember reading somewhere that the orphanage was already planning to close down. The director must not have wanted to deal with the aftermath, so he just set the place on fire, right?"
Post_013,社交媒体帖子 Post,评论区,评论区,Comments
Comment_017,网络留言 Comment,评论区,不是说很赚钱吗，怎么会停业？,Wasn't it supposed to be making a lot of money? Why would it close?
Comment_018,网络留言 Comment,评论区,是吗？跟我听说的好像有点不一样,Really? That sounds a little different from what I heard.
Comment_019,网络留言 Comment,评论区,不管怎样，感觉越来越可疑了啊,"Either way, this is getting more and more suspicious."
Post_014,社交媒体帖子 Post,评论区,想着去那间出事的孤儿院凑凑热闹，结果相机放大拍到了这张图。还真有人会将密码设计为生日日期啊哈哈哈哈。,"I went over to that orphanage where the incident happened just to see what was going on, and when I zoomed in with my camera, I got this shot. People really do use their birthdays as passwords, huh? Hahahaha."
Post_015,社交媒体帖子 Post,评论区,【透过窗口拍到孤儿院职员室的其中一台电脑，荧幕边缘帖着笔记写着密码是生日】,[A photo taken through the window shows one of the computers in the orphanage staff room. A note stuck to the edge of the monitor says the password is a birthday.]
Post_016,社交媒体帖子 Post,评论区,评论区,Comments
Comment_020,网络留言 Comment,评论区,我也会这样，密码就真的很难记啊,I do that too. Passwords are seriously hard to remember.
Comment_021,网络留言 Comment,评论区,安全意识有待提高啊,Someone needs better security awareness.
Post_017,社交媒体帖子 Post,评论区,喵喵：3,Meow Meow: 3
Post_018,社交媒体帖子 Post,评论区,简介,Bio
Post_019,社交媒体帖子 Post,评论区,"一位义工
猫猫爱好者","A volunteer
Cat Lover"
Post_020,社交媒体帖子 Post,评论区,我家猫今天心情不好都不理我呜呜…,My cat’s in a bad mood today and won’t even give me any attention…
Post_021,社交媒体帖子 Post,评论区,好心福利院的照片,Photos of Kindness Welfare Home
Post_022,社交媒体帖子 Post,评论区,为什么能有猫猫这么可爱的生物啊？！❤,How can something this cute even exist?! ❤
Instruction_001,玩法说明 Instruction,评论区,（如果跑位了，crtl + 0 回中央）,"(If the board gets shifted, press Ctrl + 0 to return to the center.)"
Scene_007,场景 Scene,希望孤儿院官方网站,希望孤儿院官方网站,Hope Orphanage Official Website
Keyword_001,搜索关键词 Keyword,希望孤儿院官方网站,"""希望孤儿院"" ""希望孤儿院官网""","""Hope Orphanage"" ""Hope Orphanage official website"""
Announcement_013,公告 Announcement,公告：关于暂停受理儿童领养申请的公告,公告：关于暂停受理儿童领养申请的公告,Notice: Temporary Suspension of Child Adoption Applications
Announcement_014,公告 Announcement,活动：希望孤儿院小型运动会,活动：希望孤儿院小型运动会,Event: Hope Orphanage Mini Sports Day
Announcement_015,公告 Announcement,公告：关于希望孤儿院持续营运说明,公告：关于希望孤儿院持续营运说明,Notice: Regarding the Continued Operation of Hope Orphanage
Announcement_016,公告 Announcement,公告：关于希望孤儿院停运说明,公告：关于希望孤儿院停运说明,Notice: Regarding the Closure of Hope Orphanage
Announcement_017,公告 Announcement,公告：关于暂停受理儿童领养申请的公告,公告：关于暂停受理儿童领养申请的公告,Announcement: Temporary Suspension of Child Adoption Applications
Announcement_018,公告 Announcement,公告：关于暂停受理儿童领养申请的公告,发布日期：2012年7月19日,"Publication Date: July 19, 2012"
Announcement_019,公告 Announcement,公告：关于暂停受理儿童领养申请的公告,"为了进一步完善本院儿童照护制度，并配合院内近期进行的领养流程检视及相关资料整理工作，自即日起，本院将暂停受理新的儿童领养申请。恢复受理时间将视院内作业进度另行公告，造成您的不便，敬请见谅。

感谢大家一直以来给予孩子们的关怀与支持，也希望大家能够继续陪伴孩子们健康成长。

希望孤儿院 敬启","To further improve our childcare system and accommodate the orphanage's recent review of adoption procedures and related records, we will temporarily stop accepting new child adoption applications effective immediately. The date applications resume will be announced separately depending on our internal progress. We apologize for any inconvenience caused.

Thank you for the care and support you have always shown the children. We hope you will continue to accompany and support them as they grow up healthy and happy.

Sincerely, Hope Orphanage"
Announcement_020,公告 Announcement,公告：关于暂停受理儿童领养申请的公告,感谢大家一直以来给予孩子们的关怀与支持，也希望大家能够继续陪伴孩子们健康成长。,Thank you for the care and support you have always shown the children. We hope you will continue to accompany and support them as they grow up healthy and happy.
Announcement_021,公告 Announcement,公告：关于暂停受理儿童领养申请的公告,希望孤儿院 敬启,"Sincerely, Hope Orphanage"
Announcement_022,公告 Announcement,活动：希望孤儿院小型运动会,活动：希望孤儿院小型运动会,Event: Hope Orphanage Mini Sports Day
Announcement_023,公告 Announcement,活动：希望孤儿院小型运动会,发布日期：2012年7月13日,"Publication Date: July 13, 2012"
Announcement_024,公告 Announcement,活动：希望孤儿院小型运动会,"本孤儿院将与即将到来的8月1日举办一年一度的一个小型运动会。

届时，孩子们将会参与各式各样趣味十足的竞赛项目，在欢笑与挑战中赢取奖品与留下美好的回忆。

活动当天，本院将开放参观，诚挚邀请各位蒞临现场，为孩子们加油打气，与他们一同度过一个热闹且欢乐的时间。

活动日期：2012年8月1日
活动时间：9：00 a.m. - 1：00 p.m.
活动地点：希望孤儿院","Our orphanage will hold its annual mini sports day on the upcoming August 1.

The children will take part in all kinds of fun competitions, winning prizes and making wonderful memories through laughter and challenges.

On the day of the event, the orphanage will be open to visitors. We sincerely invite everyone to come cheer the children on and spend a lively, joyful time with them.

Event Date: August 1, 2012
Event Time: 9:00 a.m. - 1:00 p.m.
Event Location: Hope Orphanage"
Announcement_025,公告 Announcement,活动：希望孤儿院小型运动会,届时，孩子们将会参与各式各样趣味十足的竞赛项目，在欢笑与挑战中赢取奖品与留下美好的回忆。,"The children will take part in all kinds of fun competitions, winning prizes and making wonderful memories through laughter and challenges."
Announcement_026,公告 Announcement,活动：希望孤儿院小型运动会,活动当天，本院将开放参观，诚挚邀请各位蒞临现场，为孩子们加油打气，与他们一同度过一个热闹且欢乐的时间。,"On the day of the event, the orphanage will be open to visitors. We sincerely invite everyone to come cheer the children on and spend a lively, joyful time with them."
Announcement_027,公告 Announcement,活动：希望孤儿院小型运动会,活动日期：2012年8月1日,"Event Date: August 1, 2012"
Announcement_028,公告 Announcement,活动：希望孤儿院小型运动会,活动时间：9：00 a.m. - 1：00 p.m.,Event Time: 9:00 a.m. - 1:00 p.m.
Announcement_029,公告 Announcement,活动：希望孤儿院小型运动会,活动地点：希望孤儿院,Event Location: Hope Orphanage
Scene_008,场景 Scene,希望孤儿院,希望孤儿院,Hope Orphanage
Keyword_002,搜索关键词 Keyword,希望孤儿院,"""地点：希望孤儿院""","""Location: Hope Orphanage"""
Dialogue_004,对话 Dialogue,希望孤儿院,你远远的看到了孤儿院的一个部分被烧得焦黑。相关人员拉了一条「禁止无关人士靠近」的警戒条，进行着修复工作或后续调查。除此之外，附近还零零散散的围了一些居民。,"From a distance, you can see that part of the orphanage has been charred black. Relevant personnel have put up ""Authorized Personnel Only"" tape while carrying out repairs and follow-up investigations. A few local residents are also scattered around nearby."
Scene_009,场景 Scene,希望孤儿院,你可以在稍远的位置观察孤儿院或向现场人员取得许可进孤儿院调查。也可以向附近的居民们打听情报。,"You can observe the orphanage from a short distance, ask the personnel on site for permission to enter and investigate, or ask nearby residents for information."
Scene_010,场景 Scene,观察孤儿院情报,观察孤儿院情报,Observe the Orphanage
Scene_011,场景 Scene,观察孤儿院情报,似乎是火势被及时控制下来，大概只有四分之一的部分被烧得焦黑。~~如果孤儿院的布局还和你记忆里的一样，被烧毁的区域似乎有院长室在的部分。~~,"It seems the fire was brought under control in time, and only about a quarter of the building was badly charred. ~~If the orphanage layout is still the way you remember it, the burned area seems to include the director's office.~~"
Scene_012,场景 Scene,孤儿院内的情报,孤儿院内的情报,Information Inside the Orphanage
Scene_013,场景 Scene,入口处附近,入口处附近,Near the Entrance
Scene_014,场景 Scene,入口处附近,向附近的警员出示侦探证件并取得许可后，你进入孤儿院内调查。入口处附近的角落放着一些运动用品，有呼啦圈、儿童沙包、跳绳、五颜六色的塑料球等，似乎原本是准备在今天的运动会上使用的。往职员室走去的走廊墙上有一个布告栏，贴着孩子们的作品、一些日常通知和希望孤儿院的职员结构图。,"After showing your detective ID to a nearby police officer and receiving permission, you enter the orphanage to investigate. In a corner near the entrance are some sports supplies, including hula hoops, children's sandbags, jump ropes, and colorful plastic balls. They seem to have been prepared for today's sports day. On the corridor wall leading to the staff room is a bulletin board displaying the children's work, some daily notices, and Hope Orphanage's staff organization chart."
Scene_015,场景 Scene,职员结构图,职员结构图,Staff Organization Chart
Scene_016,场景 Scene,职员结构图,包含希望孤儿院里全职员的职位与照片。,Contains the positions and photos of all staff members at Hope Orphanage.
Scene_017,场景 Scene,职员结构图,院长：陈志宏,Director: Chen Zhihong
Scene_018,场景 Scene,职员结构图,财政职员：黄国良,Finance Staff: Huang Guoliang
Scene_019,场景 Scene,职员结构图,教育职员：王秀丽,Education Staff: Wang Xiuli
Scene_020,场景 Scene,职员结构图,生活照顾负责人：张慧玲 （本案件委托人）,Head of Daily Care: Zhang Huiling (Client in this case)
Scene_021,场景 Scene,职员结构图,生活职员：林美华，李秀芳，刘志明,"Care Staff: Lin Meihua, Li Xiufang, Liu Zhiming"
Photo_001,照片/图片 Photo,职员结构图,![](flowam:img-1787584472765-9g6phi =707x363),![](flowam:img-1787584472765-9g6phi =707x363)
Scene_022,场景 Scene,职员室,职员室,Staff Room
Scene_023,场景 Scene,职员室,职员室是一间小型的办公室。除了院长，每一位职员都有属于自己的办公空间，各自的桌上也都粘着该职员的名字。张慧玲的桌上放着关于这次运动会的流程表。王秀丽的桌上放着批改到一半的孩子们的作业。李秀芳的电脑荧幕边缘粘着一张提醒自己密码的小纸条。,"The staff room is a small office. Except for the director, every staff member has their own workspace, with their name attached to their desk. Zhang Huiling's desk has the schedule for the sports day. Wang Xiuli's desk has some half-graded homework. A small note reminding Li Xiufang of her password is stuck to the edge of her computer monitor."
Scene_024,场景 Scene,向居民打听获得的情报,向居民打听获得的情报,Information Obtained from Residents
Dialogue_005,对话 Dialogue,向居民打听获得的情报,「凌晨突然听到警报声与其他人的喊叫声，出去看的时候火灾已经蛮大的了。」,"""I suddenly heard an alarm and people shouting in the middle of the night. By the time I went outside to look, the fire was already pretty big."""
Dialogue_006,对话 Dialogue,向居民打听获得的情报,「不过幸好那时候职员们已经安全把全部孩子带出来了。」,"""Luckily, the staff had already gotten all the children out safely by then."""
Dialogue_007,对话 Dialogue,向居民打听获得的情报,「最近大半夜的都还能看到孤儿院里还有房间亮着灯，似乎就是被烧了的那个房间。」,"""Recently, you could still see lights on in one of the orphanage rooms late at night. I think it was the room that got burned."""
Dialogue_008,对话 Dialogue,向居民打听获得的情报,「最近和一位职员聊天的时候，听说这几个月来领养孩子的人变多了。」,"""I was chatting with one of the staff recently and heard that more children have been adopted over the past few months."""
Dialogue_009,对话 Dialogue,向居民打听获得的情报,「唉，难得孩子们一年一度的运动会，就这样被毁了，真是运气不好啊。」,"""What a shame. The children only get their sports day once a year, and now it's been ruined. Such bad luck."""
Scene_025,场景 Scene,好心福利院,好心福利院,Kindness Welfare Home
Keyword_003,搜索关键词 Keyword,好心福利院,"""地点：好心福利院""","""Location: Kindness Welfare Home"""
Scene_026,场景 Scene,好心福利院,你来到好心福利院，义工们正帮忙安置被转移过来的孩子。,"You arrive at Kindness Welfare Home, where volunteers are helping settle the children who were transferred here."
Scene_027,场景 Scene,向义工打听情报,向义工打听情报,Ask the Volunteers for Information
Dialogue_010,对话 Dialogue,向义工打听情报,义工A「我们社团看到火灾发生后，就第一时间联络了那边的职员们，说我们这可以为孩子们提供一个临时的避难所。」,"Volunteer A: ""After our group heard about the fire, we contacted the staff there right away and told them we could provide the children with a temporary shelter here."""
Dialogue_011,对话 Dialogue,向义工打听情报,义工B「有一些孩子似乎被吓到了，我们正准备着一些小游戏打算等等与孩子们一起玩。有兴趣的话你也一起把。」,"Volunteer B: ""Some of the children seem frightened. We're preparing a few little games to play with them later. If you're interested, you can join us too."""
Scene_028,场景 Scene,向孩子们打听情报,向孩子们打听情报,Ask the Children for Information
Scene_029,场景 Scene,向孩子们打听情报,或许因为意外的发生与身处不熟悉的环境，孩子们显得有些紧张。想要从孩子们哪里问出点什么似乎得先安抚他们的情绪。,"Perhaps because of the accident and the unfamiliar surroundings, the children seem somewhat nervous. If you want to learn anything from them, you'll probably need to calm them down first."
Scene_030,场景 Scene,向孩子们打听情报,【与孩子们玩小游戏后获取情报】,[Obtain information after playing a mini-game with the children]
Dialogue_012,对话 Dialogue,向孩子们打听情报,孩子A「院长老师去哪里了，还能看到他吗……」,"Child A: ""Where did Director Chen go? Will we still get to see him...?"""
Dialogue_013,对话 Dialogue,向孩子们打听情报,孩子B「之前和院长老师越好了要一起去公园挖宝藏的」,"Child B: ""I promised Director Chen that we would go dig for treasure in the park together."""
Dialogue_014,对话 Dialogue,向孩子们打听情报,孩子C「嗯？我在画蝴蝶呀~之前看到刘老师拿着的一张卡片上有一个很漂亮的蓝色蝴蝶，我想把它画出来！」,"Child C: ""Hmm? I'm drawing a butterfly~ I saw a really pretty blue butterfly on a card Mr. Liu was holding before, and I want to draw it!"""
Scene_031,场景 Scene,新闻平台,新闻平台,News Platform
News_001,新闻 News,新闻：BB-04，打破医学界难题，根治绝症！,BB-04，打破医学界难题，根治绝症！,BB-04 Breaks a Medical Barrier—A Cure for Terminal Illnesses!
News_002,新闻 News,新闻：BB-04，打破医学界难题，根治绝症！,发布日期：2012年6月29日,"Publication Date: June 29, 2012"
News_003,新闻 News,新闻：BB-04，打破医学界难题，根治绝症！,"蓝蝶制药公司于今日发布了他们最新的研发成果“BB-04”。该药物将有望根治困扰了医学界的许久的癌症、艾滋病等绝症。

据该项目负责人所说，该药物目前还处于实验阶段，但相信在不久的将来BB-04将正式成为医学界的奇迹。","Blue Morpho Pharmaceutical Company announced its latest research achievement, ""BB-04,"" today. The drug is expected to potentially cure terminal illnesses that have long troubled the medical community, including cancer and AIDS.

According to the project's lead researcher, the drug is still in the experimental stage, but they believe BB-04 will become a medical miracle in the near future."
News_004,新闻 News,当天新闻日期,发布日期：2012年8月1日,"Publication Date: August 1, 2012"
News_005,新闻 News,新闻：BB-04，打破医学界难题，根治绝症！,【附上项目负责人于发表会演讲时的照片】,[Photo of the project lead giving a speech at the presentation]
